"id","daysInactive","daysInactiveAvg","daysInactiveSD","activeSince","visits","clicks","sales","revenue","productCategories","productViews","timeOfDay","timeOfDaySD","weekdayPercent","duration","clicksClothing","clicksShoes","clicksElectronics","clicksWatches","clicksBooks","clicksMovies","clicksMusic","clicksJewelry","clicksKitchen","clicksHome","clicksGarden","clicksPet","clicksFood","clicksHealth","clicksToys","clicksTools","clicksAutomotive","clicksOutdoors","clicksHandmade","clicksSports","clicksScience","clicksIndustrial","churn"
115388,21,35,0,56,2,2,0,0,1,1,10.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
132368,0,0,0,1,3,3,0,0,1,1,13,2,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
106684,10,12,6.97615,47,4,4,0,0,1,1,11,1.4142135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
125028,19,0,0,19,2,3,0,0,1,1,11.5,0.70710677,1,1.2166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
113546,13,9.5,8.5,33,3,3,0,0,1,1,10.666667,0.57735026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
132204,2,14,0,17,2,9,0,0,1,4.5,19.5,0.70710677,1,6.2916665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
133212,20,17.75,19.828957,92,5,10,0,0,1,1.4,11.4,3.6469164,0.6,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
134025,8,1.0434783,2.4223285,39,24,94,4,10304,1.25,2.5416667,16.916666,3.9663439,0.916666664,8.152083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,77,0,0,0
114667,7,18.25,17.795715,82,5,5,0,0,1,1,12.2,4.549725,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1
140794,19,36,0,55,2,2,0,0,1,1,10.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
130035,22,0,0,23,2,2,0,0,1,1,14.5,9.192389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
107655,4,0,0,5,4,10,0,0,1,1.75,19.25,3.304038,1,3.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
118755,25,0,0,26,2,2,0,0,1,1,12.5,3.535534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
142211,11,56,0,67,2,3,0,0,1,1.5,11,1.4142135,1,0.48333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
110043,16,0,0,16,2,2,0,0,1,1,18.5,0.70710677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
122369,18,3,0,22,2,2,0,0,1,1,18.5,2.1213202,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
132229,8,6.5,2.5,21,3,10,0,0,1,3.3333333,18.666666,7.5055537,0.3333333,4.1444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
132916,20,0,0,20,2,5,0,0,1,2.5,13.5,0.70710677,1,1.5583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
136490,9,0,0,10,2,2,0,0,1,1,19.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
128485,19,9,0,28,2,5,1,2547,1,1,3,4.2426405,1,2.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1
135790,27,7,0,34,2,11,0,0,1.5,4.5,9.5,2.1213202,1,7.991667,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,1
139214,12,14,9.933109,56,4,5,0,0,1.25,1.25,11.25,3.86221,1,0.19583334,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
113338,21,15,0,37,2,2,0,0,1,1,18,5.656854,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117025,3,88,0,92,2,3,0,0,1,1,18.5,6.363961,0.5,0.5833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
109771,30,43,0,74,2,2,0,0,1,1,16.5,7.7781744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
119213,0,0.33333334,0.47140452,1,4,4,0,0,1,1,14.5,7.047458,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
129151,23,2.5,2.5,28,3,3,0,0,1,1,13.333333,5.773503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
143027,16,1.6666666,1.2472191,22,4,7,0,0,1,1.5,15,8.485281,0.75,1.675,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125703,31,0.16666667,0.37267798,34,7,7,0,0,1,1,13.571428,4.0355563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
136366,14,68,0,82,2,4,0,0,1,1.5,2.5,0.70710677,1,1.3583333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
142229,16,6,0,22,2,6,0,0,1,2.5,14,4.2426405,0,5.4083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
148724,5,27,0,32,2,2,0,0,1,1,13,4.2426405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
130586,30,68,0,98,2,2,0,0,1,1,18,4.2426405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
116941,11,30,0,41,2,2,0,0,1,1,7,4.2426405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
132212,23,0,0,23,2,5,0,0,1,2,12.5,4.9497476,0,1.4083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1
146847,0,8.5,14.722432,35,5,22,1,4973,1.8,3,13.6,3.130495,1,12.053333,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,5,1,1
119755,7,0,0,7,2,2,0,0,1,1,12.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
121405,21,20,14.3527,83,4,8,0,0,1,1.25,18.5,7.6811457,0.75,0.87916666,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
132424,14,8.714286,7.553888,78,8,20,0,0,1,2.375,16.625,4.470139,0.625,4.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,1
